ID,Code,Agency_ru,Type_ru,InstrumentShortName_ru,InstrumentLongName_ru,Status,translation_source
C08/174,174,ЕКА,Спектрометр,MERIS,Графический спектрометр среднего разрешения,Operational,PDF
C08/175,175,ЕКА,Спектрометр,SCIAMACHY,Спектрометр сканирования с графической информацией абсорбции в целях атмосферного картографирования,Operational,PDF
C08/176,176,ЕКА,Радиометр,MIRAS,Сверхвысокочастотный радиометр для получения изображений с синтезированной апертурой,Operational,PDF
C08/177,177,ЕКА,Радиолокацион-,SIRAL,SAR/Интерференционный радиолокатор-,Operational,PDF
C08/178,178,ЕКА,Радиолокацион-,SRAL,Радиолокатор-высотомер с синтезирован-,Operational,PDF
C08/179,179,ЕКА,Формирователь,OLCI,Формирователь изображений цветности,Operational,PDF
C08/180,180,ЕКА,Формирователь,SLSTR,Радиометр для измерения температуры,Operational,PDF
C08/181,181,ЕВМЕТСАТ,Связь,METEOSAT Comms,Комплект оборудования связи для МЕТЕОСАТ,Operational,PDF
C08/182,182,ЕВМЕТСАТ,Связь,MSG Comms,Комплект оборудования связи для МСГ,Operational,PDF
C08/190,190,ЕКА/ ЕВМЕТСАТ,Скаттерометр,ASCAT,Усовершенствованный скаттерометр,Operational,PDF
C08/200,200,,,,,Operational,NA
C08/202,202,ЕКА/,Радиометр,GRAS,Приемник GNSS для атмосферного,Operational,PDF
C08/203,203,ЕВМЕТСАТ,Радиометр,MHS,Микроволновый зондировщик влажности,Operational,PDF
C08/205,205,ЕВМЕТСАТ,Радиометр,MVIRI,"Прибор для получения изображений в видимом и инфракрасном диапазонах, установленный на спутнике МЕТЕОСАТ",Operational,PDF
C08/207,207,ЕВМЕТСАТ,Радиометр,SEVIRI,Вращающийся прибор для получения изображений с улучшенным обзором в видимом и инфракрасном диапазонах,Operational,PDF
C08/208,208,ЕВМЕТСАТ,Многоспектральный радиометр для получения изображений (видимый/инфракрасный),VIRI,VIRI,Operational,PDF
C08/209,209,,,,,Operational,NA
C08/210,210,,,,,Operational,NA
C08/211,211,,,,,Operational,NA
C08/212,212,,,,,Operational,NA
C08/213,213,,,,,Operational,NA
C08/214,214,,,,,Operational,NA
C08/215,215,,,,,Operational,NA
C08/216,216,,,,,Operational,NA
C08/220,220,ЕКА/,Спектрометр,GOME-2,Глобальный эксперимент по мониторингу,Operational,PDF
C08/221,221,КНЕС/,Прибор для,IASI,Интерферометр зондирования атмосферы,Operational,PDF
C08/230,230,,,,,Operational,NA
C08/231,231,,,,,Operational,NA
C08/232,232,,,,,Operational,NA
C08/233,233,,,,,Operational,NA
C08/234,234,,,,,Operational,NA
C08/235,235,,,,,Operational,NA
C08/236,236,,,,,Operational,NA
C08/237,237,,,,,Operational,NA
C08/238,238,,,,,Operational,NA
C08/240,240,КАСТ,Связь,DCP,Приемопередатчик платформы сбора данных,Operational,PDF
C08/245,245,КАСТ,Радиометр,CCD,Камера с ПЗС высокого разрешения,Operational,PDF
C08/246,246,ИНПЕ,Прибор для,HSB,Прибор для измерения влажности/,Operational,PDF
C08/248,248,ИНПЕ,Многоспектральный радиометр для получения изображений (видимый/инфракрасный),OBA,Observador Brasileiro da Amazonia,Operational,PDF
C08/250,250,КАСТ,Радиометр,WFI,Широкоугольный прибор для получения изображений,Operational,PDF
C08/255,255,КАСТ,Спектрометр,IRMSS,Многоспектральный сканер в инфракрасном диапазоне,Operational,PDF
C08/260,260,ИСРО,Прибор для,Ретрансляторы,,Operational,PDF
C08/261,261,ИСРО,Прибор для определения точных параметров орбиты,DRT-S&R,,Operational,PDF
C08/262,262,ИСРО,Связь,INSAT Comms,Комплект оборудования связи для INSAT,Operational,PDF
C08/268,268,ИСРО,Оптический,HR-PAN,Панхроматическая камера высокого,Operational,PDF
C08/269,269,ИСРО,Многоспектраль-,MSMR,Многочастотный сканирующий микро-,Operational,PDF
C08/270,270,ИСРО,Многоспектральный радиометр для получения изображений (видимый/инфракрасный),VHRR,Радиометр очень высокого разрешения,Operational,PDF
C08/271,271,ИСРО,Многоспектральный радиометр для получения изображений (видимый/инфракрасный),WiFS,Широкополосный датчик,Operational,PDF
C08/275,275,ИСРО,Оптический,AWiFS,Усовершенствованный широкополосный,Operational,PDF
C08/276,276,ИСРО,Оптический прибор	LISS-I,,Автоматический сканер линейных,Operational,PDF
C08/277,277,ИСРО,Оптические приборы,,LISS-II Автоматический сканер линей-,Operational,PDF
C08/278,278,ИСРО,Оптические приборы,,LISS-III Автоматический сканер линей-,Operational,PDF
C08/279,279,ИСРО,Оптические приборы,,LISS-IV Автоматический сканер линей-,Operational,PDF
C08/284,284,ИСРО,Оптические приборы для получения изображения высокого разрешения,,PAN Панхроматический датчик,Operational,PDF
C08/285,285,ИСРО,Многоспектральный радиометр для получения изображений (видимый/инфракрасный),MOS,Модульный оптоэлектронный сканер,Operational,PDF
C08/286,286,ИСРО,Прибор для,OCM,Прибор для мониторинга цветности,Operational,PDF
C08/287,287,АСИ,,ROSA,Радиозатменный зондировщик состояния,Operational,PDF
C08/288,288,ИСРО,Скаттерометр,SCAT,Скаттерометр,Operational,PDF
C08/289,289,ИСРО,Оптический прибор для получения изображений,IMG,Прибор для получения изображений,Operational,PDF
C08/290,290,ЯМА,Связь,MTSAT Comms,Комплект оборудования связи для MTSAT,Operational,PDF
C08/291,291,ЯМА,Связь,Himawari Comms,Комплект оборудования связи для Himawari,Operational,PDF
C08/294,294,ЯМА,Многоспектраль-,JAMI,Японский усовершенствованный метеоро-,Operational,PDF
C08/295,295,ЯМА,Многоспектраль-,IMAGER/MTSAT-2,Прибор для получения изображений/,Operational,PDF
C08/296,296,ЯМА,Многоспектраль-,VISSR,Радиометр с круговым вращением для,Operational,PDF
C08/297,297,ЯМА,Многоспектраль-,AHI,Усовершенствованный прибор для,Operational,PDF
C08/300,300,НАСА,Лидар,GLAS,Лазерная альтиметрическая система для обслуживания наук о Земле,Operational,PDF
C08/301,301,НАСА,Прибор для опре-,LRA,Лазерная ретрорефлекторная антенная,Operational,PDF
C08/302,302,НАСА,Лидар,MBLA,Многолучевой лазерный альтиметр,Operational,PDF
C08/303,303,НАСА,Лидар,CALIOP,Лидар с ортогональной поляризацией для исследования облаков и аэрозолей,Operational,PDF
C08/309,309,НАСА,Радиолокатор для,CPR (Cloudsat),Радиолокатор для определения профиля,Operational,PDF
C08/312,312,НАСА,Радиолокатор,NSCAT,Скаттерометр НАСА,Operational,PDF
C08/313,313,НАСА,Радиолокатор,SeaWinds,ADEOS II - скаттерометр НАСА,Operational,PDF
C08/314,314,НАСА,Радиолокатор,RapidScat,Скаттерометр RapidScat,Operational,PDF
C08/330,330,НАСА,Радиометр для,ACRIM,Монитор излучения с использованием,Operational,PDF
C08/334,334,НАСА,Прибор для опреде-	BUV,,Прибор для измерения обратного рассея-,Operational,PDF
C08/336,336,НАСА,Оптический,ALI,Усовершенствованный прибор для полу-,Operational,PDF
C08/347,347,НАСА,Оптические,ASTER,Усовершенствованный космический,Operational,PDF
C08/348,348,НАСА,Радиометр для,CERES-2,Система определения облачности и,Operational,PDF
C08/351,351,НАСА,Прибор для зондирования атмосферной температуры и влажности,GPSDR,Демонстрационный приемник ГСОМ,Operational,PDF
C08/353,353,НАСА,Прибор для определения общего содержания и профиля озона,HiRDLS,Лимбовый зонд высокого разрешения,Operational,PDF
C08/354,354,НАСА,Прибор для,HRDI,Доплеровский прибор для получения,Operational,PDF
C08/356,356,НАСА,Радиометр,LIS,Датчик изображений молний,Operational,PDF
C08/358,358,НАСА,Прибор для,PEM,Монитор для изучения частиц окружающей,Operational,PDF
C08/359,359,НАСА,Прибор для,SeaWiFS,Широкополосный датчик наблюдения,Operational,PDF
C08/360,360,НАСА,Радиометр для,SUSIM (UARS),Монитор солнечного ультрафиолетового,Operational,PDF
C08/363,363,НАСА,Прибор для,SBUV/1,Солнечный скатерометр обратного,Operational,PDF
C08/365,365,НАСА,Многоспектраль-,TMI,Микроволновый прибор для получения,Operational,PDF
C08/366,366,НАСА,Многоспектральный радиометр для получения изображений (пассивный микроволновый),JMR,Микроволновый радиометр JASON-1,Operational,PDF
C08/367,367,НАСА,Многоспектраль-,AMR,Усовершенствованный микроволновый,Operational,PDF
C08/368,368,,,,,Operational,NA
C08/369,369,НАСА,Прибор для опреде-	LIMS,,Лимбовый инфракрасный монитор,Operational,PDF
C08/370,370,НАСА,Прибор для опреде-	LRIR,,Лимбовый радиометр инверсии,Operational,PDF
C08/371,371,НАСА,Прибор для опреде-	EPIC,,Полихроматическая камера для,Operational,PDF
C08/372,372,НАСА,Радиометр для определения радиационного баланса Земли,NISTAR,Усовершенствованный радиометр NIST,Operational,PDF
C08/373,373,НАСА,"Прибор для измере-	Plasma-Mag ния магнитного поля, изображения авроральной границы сцинтилляций",,,Operational,PDF
C08/374,374,НАСА,Прочие,XPS,Фотометрическая система XUV,Operational,PDF
C08/375,375,НАСА,Многоспектраль-,VIRS,Сканер в видимом и инфракрасном,Operational,PDF
C08/376,376,КНЕС,Радиометр для,POLDER II,Прибор для определения поляризации,Operational,PDF
C08/377,377,НАСА,Радиометр для,TIM,Прибор для мониторинга суммарного,Operational,PDF
C08/379,379,НАСА,Многоспектральный радиометр для получения изображений (видимый/инфракрасный),WFC,Широкоугольная камера,Operational,PDF
C08/382,382,НАСА,Спектрорадиометр	 CLAES,,Эталонный криогенный спектрометр с лимбовой решеткой,Operational,PDF
C08/383,383,НАСА,Спектрорадиометр	 HALOE,,Эксперимент галогенного затмения,Operational,PDF
C08/384,384,НАСА,Спектрорадиометр	 ISAMS,,Усовершенствованный зонд стратосферных и мезосферных измерений,Operational,PDF
C08/385,385,НАСА,Спектрорадиометр	 MISR,,Спектрорадиометр получения изображений под различными углами,Operational,PDF
C08/386,386,НАСА,Спектрорадиометр	 MLS,,Лимбовый микроволновый зонд,Operational,PDF
C08/387,387,НАСА,Спектрорадиометр	 MLS (EOS-Aura),,Лимбовый микроволновый зонд (EOS-Aura),Operational,PDF
C08/389,389,НАСА,Спектрорадиометр	 MODIS,,Спектрорадиометр для получения изображений среднего разрешения,Operational,PDF
C08/393,393,НАСА,Прибор для опреде-	HAIRS,,Высокоточная межспутниковая дально-,Operational,PDF
C08/394,394,НАСА,Прибор для опреде-	OMI ления общего содержания и профиля озона,,Прибор для измерения параметров озона,Operational,PDF
C08/395,395,НАСА,Радиометр,Атмосферный корректировщик,Атмосферный корректировщик,Operational,PDF
C08/396,396,НАСА,Радиометр,Hyperion,Гиперспектральный прибор для получения изображений,Operational,PDF
C08/397,397,,,,,Operational,NA
C08/398,398,,,,,Operational,NA
C08/399,399,НАСА,Спектрорадиометр	 SAGE I,,Эксперимент-I по стратосферному аэрозолю и газам,Operational,PDF
C08/400,400,НАСА,Спектрорадиометр	 SAGE II,,Эксперимент-II по стратосферному аэрозолю и газам,Operational,PDF
C08/401,401,НАСА,Спектрорадиометр	 SAGE III,,Эксперимент-III по стратосферному аэрозолю и газам,Operational,PDF
C08/402,402,НАСА,Спектрорадиометр	 SAMS,,Прибор для зондирования стратосферы и мезосферы,Operational,PDF
C08/403,403,НАСА,Спектрорадиометр	 SAM-II,,Измерение стратосферного аэрозоля-II,Operational,PDF
C08/404,404,НАСА,Спектрорадиометр	 IRIS,,Инфракрасный интерферометр спектрометр,Operational,PDF
C08/405,405,НАСА,Прибор для,GIFTS,Геосинхронный спектрометр для,Operational,PDF
C08/420,420,НАСА,Спектрометр,AIRS,Атмосферный зонд инфракрасного диапазона,Operational,PDF
C08/421,421,,,,,Operational,NA
C08/422,422,,,,,Operational,NA
C08/426,426,НАСА,Спектрометр,SOLSTICE,Эксперимент по сравнению данных об излучательной способности Солнца и звезд,Operational,PDF
C08/430,430,НАСА,Спектрометр,TES,Спектрометр тропосферных эмиссий,Operational,PDF
C08/431,431,НАСА,Спектрометр,TOMS,Спектрометр картирования суммарного озона,Operational,PDF
C08/432,432,НАСА,Спектрометр,OCO,Орбитальная углеродная обсерватория,Operational,PDF
C08/433,433,,,,,Operational,NA
C08/434,434,,,,,Operational,NA
C08/435,435,,,,,Operational,NA
C08/450,450,ДЖАКСА,Связь,ADEOS Comms,Комплект оборудования связи для ADEOS,Operational,PDF
C08/451,451,ДЖАКСА,Связь,DCS (JAXA),Система сбора данных (ДЖАКСА),Operational,PDF
C08/453,453,НАСДА,Связь,GMS Comms,Комплект оборудования связи на ГМС,Operational,PDF
C08/454,454,НАСДА,Связь,JERS-1 Comms,Комплект оборудования связи для JERS-1,Operational,PDF
C08/460,460,НАСДА,Лидар,RIS,Ретрорефлектор в космосе,Operational,PDF
C08/461,461,НАСДА,Радиолокатор,PR,Радиолокатор определения осадков,Operational,PDF
C08/462,462,НАСДА,Микроволновый,SAR,Радиолокатор с синтезированной,Operational,PDF
C08/470,470,ДЖАКСА,Микроволновый,PALSAR,Радиолокатор L-диапазона с синтези-,Operational,PDF
C08/477,477,,,,,Operational,NA
C08/478,478,ДЖАКСА,Многоспектральный,,AMSR2 Усовершенствованный микро-,Operational,PDF
C08/479,479,ДЖАКСА,Многоспектраль-,AMSR-E,Усовершенствованный микроволновый,Operational,PDF
C08/480,480,ДЖАКСА,Оптический,PRISM (ALOS),Панхроматический прибор дистанцион-,Operational,PDF
C08/481,481,ДЖАКСА,Радиометр,AMSR,Усовершенствованный микроволновый сканирующий радиометр,Operational,PDF
C08/482,482,НАСДА,Оптический,AVNIR,Усовершенствованный радиометр,Operational,PDF
C08/483,483,ДЖАКСА,Оптический,AVNIR-2,Усовершенствованный радиометр,Operational,PDF
C08/484,484,ДЖАКСА,Прибор для полу-,GLI,Прибор для получения глобальных,Operational,PDF
C08/485,485,НАСДА,Радиометр,MESSR,Многоспектральный электронный радиометр автоматического сканирования,Operational,PDF
C08/486,486,НАСДА,Радиометр,MSR,Радиометр микроволнового сканирования,Operational,PDF
C08/487,487,НАСДА,Радиометр,OCTS,Прибор для сканирования цветности и температуры океана,Operational,PDF
C08/488,488,НАСДА,Радиометр,OPS,Оптический датчик,Operational,PDF
C08/489,489,НАСДА,Радиометр,VISSR (GMS-5),Радиометр с круговым вращением для сканирования в видимом и инфракрасном диапазонах (GMS-5),Operational,PDF
C08/490,490,НАСДА,Радиометр,VTIR,Радиометр в видимом и тепловом инфракрасном диапазоне,Operational,PDF
C08/510,510,НАСДА,Спектрометр,ILAS-I,Усовершенствованный лимбовой атмосферный спектрометр,Operational,PDF
C08/511,511,НАСДА,Спектрометр,ILAS-II,Усовершенствованный лимбовый атмосферный спектрометр,Operational,PDF
C08/512,512,НАСДА,Спектрометр,IMG,Инферометрический монитор парниковых газов,Operational,PDF
C08/514,514,НАСДА,Космическая среда	 SEM,,Прибор для мониторинга космической среды (НАСДА),Operational,PDF
C08/515,515,ДЖАКСА,Прибор для,SOFIS,Спектрометр солнечного затмения с,Operational,PDF
C08/516,516,ДЖАКСА,Спектрометр,TANSO-FTS,"Тепловой датчик для наблюдений за углеродом, также работающий в ближней инфракрасной области спектра (TANSO) Спектрометр с использованием преобразования Фурье (FTS)",Operational,PDF
C08/517,517,ДЖАКСА,Спектрометр,TANSO-CAI,"Тепловой датчик для наблюдений за углеродом, также работающий в ближней инфракрасной области спектра (TANSO) и прибор для получения изображений облачности и аэрозолей (CAI)",Operational,PDF
C08/518,518,ДЖАКСА,Радиолокатор для 	 DPR,,Двухчастотный радиолокатор для,Operational,PDF
C08/519,519,НАСА,Микроволновый,GMI,Микроволновый прибор для получения,Operational,PDF
C08/520,520,,,,,Operational,NA
C08/521,521,,,,,Operational,NA
C08/526,526,,,,,Operational,NA
C08/527,527,,,,,Operational,NA
C08/528,528,,,,,Operational,NA
C08/529,529,,,,,Operational,NA
C08/530,530,Spire,Радиозатменный,SGNOS-A,Радиозатменный зондировщик A,Operational,PDF
C08/531,531,Spire,Радиозатменный,SGNOS-B,Радиозатменный зондировщик B,Operational,PDF
C08/532,532,Spire,Радиозатменный,SGNOS-C,Радиозатменный зондировщик C,Operational,PDF
C08/533,533,Spire,Радиозатменный,SGNOS-D,Радиозатменный зондировщик D,Operational,PDF
C08/534,534,,,,,Operational,NA
C08/535,535,,,,,Operational,NA
C08/536,536,,,,,Operational,NA
C08/537,537,,,,,Operational,NA
C08/540,540,НУОА,Связь,DCS (NOAA),Система сбора данных (НУОА),Operational,PDF
C08/541,541,НУОА,Связь,GOES Comms,Комплект оборудования связи на спутнике ГОЕС,Operational,PDF
C08/542,542,НУОА,Связь,LANDSAT Comms,Комплект оборудования связи для спутника LANDSAT,Operational,PDF
C08/543,543,НУОА,Связь,NOAA Comms,Комплект оборудования связи для спутника НУОА,Operational,PDF
C08/544,544,НУОА,Связь,S&R (GOES),Поиск и спасение,Operational,PDF
C08/545,545,НУОА,Связь,S&R (NOAA),Поиск и спасение,Operational,PDF
C08/546,546,НУОА,Связь,WEFAX,Факсимильная передача метеорологических данных,Operational,PDF
C08/547,547,НУОА,Спектрометр,SEM (GOES),Монитор космической среды,Operational,PDF
C08/550,550,НУОА,Магнитное поле,SSM,Магнитометр со специальным датчиком,Operational,PDF
C08/551,551,НУОА,Магнитное поле,SSJ/4,Монитор со специальным датчиком для наблюдения за высыпающимися из плазмы частицами,Operational,PDF
C08/552,552,НУОА,Космическая,SSIES-2,Прибор со специальным датчиком,Operational,PDF
C08/553,553,НУОА,Космическая,SSB/X-2,Прибор со специальным датчиком для,Operational,PDF
C08/570,570,НУОА,Радиометр,AMSU-A,Усовершенствованный микроволновый прибор зондирования-A,Operational,PDF
C08/574,574,НУОА,Радиометр,AMSU-B,Усовершенствованный микроволновый прибор зондирования-B,Operational,PDF
C08/580,580,НУОА,Радиометр,ATOVS (HIRS/3 +,Усовершенствованный зонд вертикаль-,Operational,PDF
C08/590,590,НУОА,Радиометр,AVHRR/2,Усовершенствованный радиометр очень высокого разрешения/2,Operational,PDF
C08/591,591,НУОА,Радиометр,AVHRR/3,Усовершенствованный радиометр очень высокого разрешения/3,Operational,PDF
C08/592,592,НУОА,Радиометр,AVHRR/4,Усовершенствованный радиометр очень высокого разрешения/4,Operational,PDF
C08/600,600,НУОА,Радиометр,ERBE,Эксперимент по изучению радиационого баланса Земли,Operational,PDF
C08/601,601,НУОА,Радиометр,ETM+,Усовершенствованный прибор для тематического картирования,Operational,PDF
C08/604,604,НУОА,Радиометр,HIRS/1,Инфракрасный зонд высокого разрешения/1,Operational,PDF
C08/605,605,НУОА,Радиометр,HIRS/2,Инфракрасный зонд высокого разрешения/2,Operational,PDF
C08/606,606,НУОА,Радиометр,HIRS/3,Инфракрасный зонд высокого разрешения/3,Operational,PDF
C08/607,607,НУОА,Радиометр,HIRS/4,Инфракрасный зонд высокого разрешения/4,Operational,PDF
C08/615,615,НУОА,Радиометр,IMAGER,Прибор для получения изображений,Operational,PDF
C08/616,616,НУОА,Многоспектраль-,VIIRS,Радиометрический блок для получения,Operational,PDF
C08/617,617,НУОА,Многоспектраль-,ABI,Усовершенствованный базовый,Operational,PDF
C08/618,618,НУОА,Оптический прибор для получения изображений высокого разрешения,ABI,Геостационарный картограф молний,Operational,PDF
C08/620,620,НУОА,Прибор для,CrIRS/NP,Инфракрасный зонд для зондирования,Operational,PDF
C08/621,621,НУОА,Прибор для,ATMS,Микроволновый зонд с использованием,Operational,PDF
C08/622,622,НУОА,Радиометр,MSS,Система многоспектрального сканирования,Operational,PDF
C08/623,623,НУОА,Радиометр,MSU,Оборудование для микроволнового зондирования,Operational,PDF
C08/624,624,НУОА,Радиометр,SBUV/2,Прибор для измерения солнечного ультрафиолетового обратного рассеяния/2,Operational,PDF
C08/625,625,НУОА,Радиометр,SBUV/3,Прибор для измерения солнечного ультрафиолетового обратного рассеяния/3,Operational,PDF
C08/626,626,НУОА,Радиометр,SOUNDER,ЗОНД,Operational,PDF
C08/627,627,НУОА,Радиометр,SSU,Прибор для стратосферного зондирования,Operational,PDF
C08/628,628,НУОА,Радиометр,TM,Прибор для тематического картирования,Operational,PDF
C08/629,629,НУОА,Радиометр,TOVS (HIRS/2 +,Зонд оперативного вертикального зонди-,Operational,PDF
C08/630,630,НУОА,Радиометр,VAS,Атмосферный зонд VISSR,Operational,PDF
C08/631,631,НУОА,Радиометр,SSZ,,Operational,PDF
C08/645,645,НУОА,Спектрометр,SEM,Прибор для мониторинга космической среды,Operational,PDF
C08/650,650,NRSCC,Радиометр,MVIRSR (10 каналов),Радиометр многоспектрального сканирования в видимом и инфракрасном диапазонах,Operational,PDF
C08/651,651,NRSCC,Радиометр,MVIRSR (3 канала),Радиометр многоспектрального сканирования в видимом и инфракрасном диапазонах,Operational,PDF
C08/652,652,NRSCC,Радиометр,MVIRSR (5 каналов),Радиометр многоспектрального сканирования в видимом и инфракрасном диапазонах,Operational,PDF
C08/670,670,НКАУ,Радиолокатор,RLSBO,Микроволновый радиолокатор бокового обзора,Operational,PDF
C08/680,680,НКАУ,Оптические,MSU-EU,Многоспектральный радиометр c,Operational,PDF
C08/681,681,НКАУ,Многоспект-,MSU-UM,Многоспектральный радиометр видимого,Operational,PDF
C08/682,682,НКАУ,Радиометр,RM-08,Микроволновый радиометр для получения изображений,Operational,PDF
C08/683,683,НКАУ,Оптический прибор для получения изображений высокого разрешения,SU-UMS,Стереорадиометр с высоким разрешением,Operational,PDF
C08/684,684,НКАУ,Оптический,SU-VR,Радиометр видимого диапазона с высоким,Operational,PDF
C08/685,685,НКАУ,Радиометр,TRASSER,,Operational,PDF
C08/686,686,ГОУ,Скаттерометр,SCAT,Скаттерометр,Operational,PDF
C08/687,687,ГОУ,Радиолокационный альтиметр,ALT,Радиолокационный альтиметр,Operational,PDF
C08/688,688,ГОУ,Микроволновый радиометр,MWI,Микроволновый радиометр,Operational,PDF
C08/689,689,,,,,Operational,NA
C08/700,700,РОСКОСМОС,Связь,Кондор-2,Система сбора и передачи данных,Operational,PDF
